age,annual_income,employment_length_years,home_ownership,credit_history_years,open_credit_lines,past_delinquencies_2yr,credit_utilization,loan_amount,loan_term_months,interest_rate,purpose,debt_to_income,payment_to_income,default
46,38590.0,0.3,MORTGAGE,27.3,6,0,0.193,10863.0,48,9.98,small_business,0.07,0.086,0
38,46502.0,25.5,OWN,12.2,2,0,0.255,6707.0,48,10.84,major_purchase,0.036,0.045,0
48,40187.0,9.7,MORTGAGE,27.8,5,0,0.044,14409.0,36,6.29,debt_consolidation,0.12,0.131,0
58,57251.0,12.2,RENT,38.0,4,0,0.236,9370.0,60,8.77,medical,0.033,0.041,0
37,98577.0,7.1,RENT,2.4,5,0,0.387,29300.0,36,10.61,debt_consolidation,0.099,0.116,0
37,36845.0,1.2,RENT,17.5,5,1,0.069,10250.0,60,9.83,credit_card,0.056,0.071,0
59,89358.0,0.2,RENT,35.2,1,1,0.443,7553.0,12,9.23,medical,0.085,0.089,0
49,36650.0,12.0,RENT,25.1,7,1,0.147,1921.0,24,7.18,debt_consolidation,0.026,0.028,0
34,35461.0,3.0,OWN,15.2,3,0,0.189,13676.0,24,10.75,debt_consolidation,0.193,0.215,0
47,81577.0,1.8,OWN,28.7,4,4,0.29,4427.0,36,10.07,debt_consolidation,0.018,0.021,0
34,85902.0,4.9,OWN,4.9,2,0,0.321,18481.0,36,9.35,debt_consolidation,0.072,0.083,0
34,82926.0,3.3,RENT,14.3,5,1,0.502,12202.0,36,11.65,debt_consolidation,0.049,0.058,0
43,28060.0,6.3,RENT,25.0,4,2,0.298,5976.0,12,7.87,debt_consolidation,0.213,0.222,0
18,42917.0,4.0,MORTGAGE,0.0,6,1,0.268,10751.0,12,12.17,credit_card,0.251,0.267,0
19,81756.0,7.2,MORTGAGE,0.0,2,0,0.305,5222.0,36,7.96,other,0.021,0.024,0
33,55313.0,11.5,RENT,10.5,2,1,0.173,6714.0,24,8.42,debt_consolidation,0.061,0.066,0
28,31671.0,1.3,RENT,1.4,7,0,0.419,13117.0,36,9.42,debt_consolidation,0.138,0.159,0
44,68129.0,2.4,RENT,18.6,2,1,0.437,6645.0,36,6.87,medical,0.033,0.036,0
29,37896.0,3.4,MORTGAGE,2.6,7,0,0.145,7972.0,48,5.81,debt_consolidation,0.053,0.059,0
23,132888.0,19.6,RENT,4.9,2,2,0.183,8057.0,24,6.21,medical,0.03,0.032,0
58,117292.0,2.7,OWN,36.3,7,0,0.317,5822.0,36,7.98,credit_card,0.017,0.019,0
37,73280.0,2.9,RENT,18.2,7,0,0.143,6769.0,36,7.56,credit_card,0.031,0.035,0
41,106991.0,6.4,RENT,22.4,6,1,0.337,9015.0,60,10.4,credit_card,0.017,0.022,1
23,55960.0,3.3,RENT,0.2,7,2,0.265,11162.0,24,8.19,medical,0.1,0.108,0
